year,county_name,yield_bu_per_acre
2015,ADAIR,176.5
2015,ADAMS,169.6
2015,ALLAMAKEE,175.4
2015,APPANOOSE,154.3
2015,AUDUBON,189.8
2015,BENTON,187.5
2015,BLACK HAWK,192.9
2015,BOONE,192.3
2015,BREMER,203.1
2015,BUCHANAN,191.6
2015,BUENA VISTA,202.7
2015,BUTLER,193.3
2015,CALHOUN,194.7
2015,CARROLL,195.4
2015,CASS,193.7
2015,CEDAR,188.8
2015,CERRO GORDO,196.9
2015,CHEROKEE,209.6
2015,CHICKASAW,202.8
2015,CLARKE,152.4
2015,CLAY,202.8
2015,CLAYTON,193.2
2015,CLINTON,188.2
2015,CRAWFORD,199.1
2015,DALLAS,182.4
2015,DAVIS,142.4
2015,DECATUR,162.7
2015,DELAWARE,195.8
2015,DES MOINES,176.0
2015,DICKINSON,194.5
2015,DUBUQUE,197.0
2015,EMMET,203.3
2015,FAYETTE,191.8
2015,FLOYD,196.5
2015,FRANKLIN,200.2
2015,FREMONT,179.9
2015,GREENE,189.0
2015,GRUNDY,199.9
2015,GUTHRIE,179.2
2015,HAMILTON,198.1
2015,HANCOCK,201.2
2015,HARDIN,199.3
2015,HARRISON,189.5
2015,HENRY,178.4
2015,HOWARD,202.1
2015,HUMBOLDT,194.8
2015,IDA,203.1
2015,IOWA,199.3
2015,JACKSON,190.6
2015,JASPER,198.9
2015,JEFFERSON,168.2
2015,JOHNSON,187.1
2015,JONES,186.6
2015,KEOKUK,181.0
2015,KOSSUTH,199.0
2015,LEE,145.1
2015,LINN,189.2
2015,LOUISA,181.7
2015,LUCAS,154.8
2015,LYON,196.0
2015,MADISON,169.6
2015,MAHASKA,190.3
2015,MARION,178.1
2015,MARSHALL,194.9
2015,MITCHELL,202.1
2015,MONONA,169.0
2015,MONTGOMERY,185.2
2015,MUSCATINE,177.7
2015,O BRIEN,205.2
2015,OSCEOLA,204.7
2015,OTHER (COMBINED) COUNTIES,168.2
2015,PAGE,165.8
2015,PALO ALTO,197.5
2015,PLYMOUTH,203.6
2015,POCAHONTAS,205.5
2015,POLK,187.0
2015,POTTAWATTAMIE,204.0
2015,POWESHIEK,197.8
2015,RINGGOLD,147.8
2015,SAC,204.8
2015,SCOTT,195.9
2015,SHELBY,195.3
2015,SIOUX,201.9
2015,STORY,188.0
2015,TAMA,189.5
2015,VAN BUREN,158.3
2015,WAPELLO,159.3
2015,WARREN,170.3
2015,WASHINGTON,195.0
2015,WAYNE,158.0
2015,WEBSTER,201.0
2015,WINNEBAGO,203.6
2015,WINNESHIEK,185.6
2015,WOODBURY,202.3
2015,WORTH,202.1
2015,WRIGHT,198.4
2016,ADAIR,190.3
2016,ADAMS,187.4
2016,ALLAMAKEE,205.1
2016,APPANOOSE,186.3
2016,AUDUBON,206.1
2016,BENTON,199.9
2016,BLACK HAWK,206.4
2016,BOONE,208.4
2016,BREMER,210.6
2016,BUCHANAN,205.6
2016,BUENA VISTA,201.1
2016,BUTLER,207.3
2016,CALHOUN,207.3
2016,CARROLL,203.1
2016,CASS,195.9
2016,CEDAR,215.3
2016,CERRO GORDO,193.6
2016,CHEROKEE,219.7
2016,CHICKASAW,206.6
2016,CLARKE,163.9
2016,CLAY,202.0
2016,CLAYTON,210.3
2016,CLINTON,213.8
2016,CRAWFORD,213.5
2016,DALLAS,204.0
2016,DAVIS,188.7
2016,DECATUR,181.1
2016,DELAWARE,202.3
2016,DES MOINES,210.0
2016,DICKINSON,188.0
2016,DUBUQUE,211.5
2016,EMMET,198.5
2016,FAYETTE,202.5
2016,FLOYD,196.3
2016,FRANKLIN,204.8
2016,FREMONT,180.8
2016,GREENE,205.5
2016,GRUNDY,198.5
2016,GUTHRIE,198.2
2016,HAMILTON,209.0
2016,HANCOCK,200.3
2016,HARDIN,208.0
2016,HARRISON,204.6
2016,HENRY,199.0
2016,HOWARD,202.2
2016,HUMBOLDT,206.1
2016,IDA,216.0
2016,IOWA,210.6
2016,JACKSON,202.1
2016,JASPER,214.7
2016,JEFFERSON,197.0
2016,JOHNSON,189.0
2016,JONES,201.3
2016,KEOKUK,208.6
2016,KOSSUTH,204.7
2016,LEE,194.6
2016,LINN,200.3
2016,LOUISA,200.2
2016,LUCAS,174.6
2016,LYON,206.9
2016,MADISON,185.5
2016,MAHASKA,204.7
2016,MARION,198.0
2016,MARSHALL,211.3
2016,MILLS,188.4
2016,MITCHELL,199.1
2016,MONONA,184.5
2016,MONROE,180.0
2016,MONTGOMERY,185.5
